"ROI_A","ROI_B","a","b","k","w_k","w_norm","w_sync","w_frac","w_k_log","w_norm_log","w_sync_log","w_frac_log","xA","yA","zA","xB","yB","zB","lobeA","lobeB"
"T3a.L","LG.R",1.58808166949305,1.39077447376264,0.994684382200061,0.994684382200061,0.669299540801871,5.04127250526961,0.40041841933013,0.690485833415192,0.512404101794923,1.79861466943728,0.33677106291828,-47.97,-5.1,-29.12,13.93,-62.73,5.03,"Temporal","Occipital"
"T3a.L","TFa.L",1.69138545239904,1.86950889535835,0.943307497224088,0.943307497224088,0.530479032374985,5.29577794912486,0.346326160440201,0.664391416867025,0.425580779456488,1.83987924192976,0.297379520174438,-47.97,-5.1,-29.12,-32.3,-4.53,-31.6,"Temporal","Temporal"
"T3a.L","TFa.R",1.85013142842544,2.45588544655986,0.996346272046188,0.996346272046188,0.46741748801318,1.64480069040896,0.31636521253971,0.691318645831911,0.383504044913248,0.972595709128509,0.274874311529809,-47.97,-5.1,-29.12,30.87,-2.55,-32.28,"Temporal","Temporal"
"T3a.L","TFp.L",1.14249604854676,0.939025447060156,0.946481996800193,0.946481996800193,0.91378983670194,4.65166632534965,0.476279004852508,0.666023639014655,0.649085483815922,1.73195042651721,0.389524735992651,-47.97,-5.1,-29.12,-36.02,-29.45,-15.04,"Temporal","Temporal"
"T3a.L","TFp.R",0.913007201923776,0.529948370066371,0.787459558267204,0.787459558267204,1.13207285472014,2.05570903753839,0.521863655413866,0.580795370584462,0.757094677727319,1.11701165654191,0.419935672912856,-47.97,-5.1,-29.12,36.53,-23.81,-18.05,"Temporal","Temporal"
"T3a.L","TOF.L",1.73341291027805,1.22307969349509,0.835127470221154,0.835127470221154,0.57355408607499,1.63643244516433,0.360999800503603,0.607113945154453,0.453336810032943,0.969426656737425,0.308219577088571,-47.97,-5.1,-29.12,-33.32,-53.65,-5.95,"Temporal","Occipital"
"T3a.L","TOF.R",1.7373473890304,1.93678840431873,0.980466328973261,0.980466328973261,0.534500680761836,4.91604704031808,0.347987371385995,0.683332336659502,0.428205038715115,1.77766849618917,0.298612644038216,-47.97,-5.1,-29.12,35.02,-49.88,-6.56,"Temporal","Occipital"
"T3a.L","OF.L",1.9367561644657,2.68196471033911,1.00375116516675,1.00375116516675,0.440414956728127,1.34693814743116,0.302963282126805,0.695021006434533,0.364931236471057,0.853111562636301,0.264641118257405,-47.97,-5.1,-29.12,-26.33,-76.86,-3.45,"Temporal","Occipital"
"T3a.L","OF.R",1.61196445762687,1.81237884888209,0.975868880072999,0.975868880072999,0.570938389098018,4.86923122002294,0.363040983933746,0.681008240885643,0.45167314087111,1.76972365763488,0.309718221179243,-47.97,-5.1,-29.12,27.24,-75.48,-2.29,"Temporal","Occipital"
"T3a.L","FO.L",1.19892385137367,1.28753723893556,0.988545915227273,0.988545915227273,0.79564831324158,11.1555915740747,0.442941276949449,0.68740367578237,0.585366134024784,2.49778927577956,0.366683583848938,-47.97,-5.1,-29.12,-39.82,18.29,14.62,"Temporal","Frontal"
"T3a.L","FO.R",0.824845375745165,0.912843695568704,0.94275200491198,0.94275200491198,1.08645810076237,10.7131737700068,0.520398435192373,0.664105527103583,0.735467939737067,2.46071417163097,0.418972428924569,-47.97,-5.1,-29.12,41.14,18.82,14.75,"Temporal","Frontal"
"T3a.L","CO.L",1.61947108500654,1.66783269130633,1.0149387148792,1.0149387148792,0.61755690040264,20.9860218985683,0.381758181842786,0.700588780484109,0.480916924766546,3.09040688317948,0.323356733076314,-47.97,-5.1,-29.12,-48.03,-8.28,21.64,"Temporal","Frontal"
"T3a.L","CO.R",0.772464990848448,0.663683730498321,0.948276378081822,0.948276378081822,1.32438710524264,8.71719685755464,0.569073698608134,0.666945073022043,0.843456393639598,2.27389718773973,0.450485444354665,-47.97,-5.1,-29.12,49.47,-5.66,21.1,"Temporal","Frontal"
"T3a.L","PO.L",1.33693814149025,1.13087394754863,0.934685087728848,0.934685087728848,0.760155702063587,4.53587075939512,0.431010287660732,0.659944567877514,0.565402272218662,1.71124887255787,0.358380689689445,-47.97,-5.1,-29.12,-48.4,-31.53,30.3,"Temporal","Parietal"
"T3a.L","PO.R",1.86288604164963,2.23835635184339,0.934374935169845,0.934374935169845,0.457576193694487,2.48853883053718,0.313023834496556,0.659784243376042,0.376774914853466,1.24948297534773,0.27233274785701,-47.97,-5.1,-29.12,48.86,-27.69,31.65,"Temporal","Parietal"
"T3a.L","PP.L",1.20459031389503,0.360471188042401,0.792339691245608,0.792339691245608,1.20242071513815,0.938657504991109,0.503114205465404,0.58352185643542,0.789557080513138,0.661995725790822,0.407539092891045,-47.97,-5.1,-29.12,-46.77,-5.34,2.46,"Temporal","Temporal"
"T3a.L","PP.R",1.7383363017429,0.448084681625066,0.757972334817024,0.757972334817024,0.858828417424123,0.587460411239315,0.409452985391885,0.564161062402542,0.619946406160095,0.462135513671751,0.343201675493824,-47.97,-5.1,-29.12,48.11,-3.56,2.9,"Temporal","Temporal"
"T3a.L","H.L",1.0952334820743,0.597138094439964,0.950871798569378,0.950871798569378,1.17579395242133,1.90901163344198,0.529127060557117,0.668276348856297,0.777393633527375,1.06781337862572,0.424697023924045,-47.97,-5.1,-29.12,-45.22,-20.04,17.31,"Temporal","Temporal"
"T3a.L","H.R",1.20857593592859,0.432656921380391,0.545863140671677,0.545863140671677,0.75487487451681,0.703504395346108,0.399466741343853,0.43558242145475,0.56239755780449,0.53268753830112,0.336091265020643,-47.97,-5.1,-29.12,46.04,-17.36,16.89,"Temporal","Temporal"
"T3a.L","PT.L",0.804662049841569,0.267155938196503,0.87864293516293,0.87864293516293,1.89506122608393,1.63466290236384,0.621145761450446,0.630549673189317,1.06300625970769,0.968755243017774,0.483133159408291,-47.97,-5.1,-29.12,-52.64,-29.69,20.8,"Temporal","Temporal"
"T3a.L","PT.R",1.33380064248628,0.641902758949474,0.743113716254799,0.743113716254799,0.803110298847697,1.07402068992537,0.429305928915926,0.555673006093501,0.589513117529033,0.729489085613591,0.357188962049933,-47.97,-5.1,-29.12,54.84,-25.33,22.39,"Temporal","Temporal"
"T3a.L","SCLC.L",1.48754093600449,1.24999639823663,0.992852519003365,0.992852519003365,0.728108159856906,4.17963026513956,0.420411421119113,0.689567038996004,0.547027260932818,1.64473367633772,0.35094656283109,-47.97,-5.1,-29.12,-12.29,-68.86,25.57,"Temporal","Occipital"
"T3a.L","SCLC.R",0.842306563058236,0.856528320163273,0.918670367670817,0.918670367670817,1.08156780790568,64.5915810054499,0.519584130860617,0.651632429301025,0.733121363584306,4.18344734938242,0.418436699305376,-47.97,-5.1,-29.12,9.09,-74.03,24.47,"Temporal","Occipital"
"T3a.L","OP.L",1.51023598336606,1.31710819069623,0.935848526061721,0.935848526061721,0.663548128461604,4.84572244834385,0.398314669318771,0.660545745122826,0.508952748105724,1.76571018837139,0.335267703833334,-47.97,-5.1,-29.12,-17.23,-96.36,17.23,"Temporal","Occipital"
"T3a.L","OP.R",1.76663967519219,1.88186677649159,1.00517445793786,1.00517445793786,0.551280990308757,8.72334479699556,0.355257165150471,0.695731068413584,0.439081034973717,2.27452967419563,0.303991226102808,-47.97,-5.1,-29.12,18.09,-95.14,18.35,"Temporal","Occipital"
"T3a.L","Thal.L",1.32463306687921,1.38916682602705,0.944866321976057,0.944866321976057,0.696538893632952,14.6412000982508,0.410496206732958,0.665193245647306,0.528590230787167,2.7499084647981,0.343941562149639,-47.97,-5.1,-29.12,-9.99,-19.16,16.28,"Temporal","SCGM"
"T3a.L","Thal.R",1.09127521235521,0.613188580950828,0.809163976456982,0.809163976456982,0.989173254651905,1.69250138113816,0.48703863393033,0.592864847112784,0.687719102489506,0.99047064300581,0.396786648263803,-47.97,-5.1,-29.12,10.92,-18.5,16.6,"Temporal","SCGM"
"T3a.L","Caud.L",2.00782113480355,0.595800915829894,0.542008032101614,0.542008032101614,0.495555874209605,0.383852611291195,0.293959447875823,0.433085484013184,0.402497959947683,0.324871356792716,0.257706857006364,-47.97,-5.1,-29.12,-12.84,8.92,19.71,"Temporal","SCGM"
"T3a.L","Caud.R",1.56299605378734,0.320570030600904,0.81884717219544,0.81884717219544,1.15681111678991,0.659070639091021,0.465087538259331,0.598202878521679,0.768630796020562,0.506257589621316,0.381914993761928,-47.97,-5.1,-29.12,13.5,9.66,20.87,"Temporal","SCGM"
"T3a.L","Put.L",0.774258708430826,1.06021193955722,0.961052440803495,0.961052440803495,1.06073693497781,3.36086106163859,0.511664111759306,0.673481288724829,0.723063654255551,1.47266952906363,0.413211104771414,-47.97,-5.1,-29.12,-24.79,0.54,10.42,"Temporal","SCGM"
"T3a.L","Put.R",1.68881850129613,1.62476139565462,0.970211339051019,0.970211339051019,0.585706523451824,15.1458012898573,0.369322749729057,0.678140815702049,0.461030064130523,2.78166003381529,0.314316274348657,-47.97,-5.1,-29.12,25.48,2.03,10.35,"Temporal","SCGM"
"T3a.L","Pall.L",0.936206402785982,0.308536326764815,0.703073153882533,0.703073153882533,1.3081620899569,1.12012992272855,0.530443292031887,0.532434356649067,0.836451575797242,0.751477371112032,0.425557426793916,-47.97,-5.1,-29.12,-19.13,-5.17,8.53,"Temporal","SCGM"
"T3a.L","Pall.R",1.36145201797938,1.29506191717526,0.979308217401532,0.979308217401532,0.737518574233173,14.7505946661564,0.42439027238596,0.682747398506491,0.552457988605813,2.75687812114024,0.353743843126866,-47.97,-5.1,-29.12,19.75,-3.87,8.56,"Temporal","SCGM"
"T3a.L","Hip.L",1.24727575630277,0.279100692561831,0.632710995844747,0.632710995844747,1.07236760155433,0.653508199118263,0.453264094322778,0.490241820888586,0.728691722538828,0.502899212071664,0.373812126036916,-47.97,-5.1,-29.12,-25.18,-23.25,-3.92,"Temporal","SCGM"
"T3a.L","Hip.R",1.15958200696287,0.999012052720491,0.942087835112627,0.942087835112627,0.875296713992739,5.86711239001889,0.466060596102228,0.66376359804953,0.628766894365359,1.92674369618859,0.382578936922791,-47.97,-5.1,-29.12,26.5,-20.99,-4.07,"Temporal","SCGM"
